City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Hobyo,SO,5.3505,48.5268,77.0,75,11,16.33,few clouds
1,Bredasdorp,ZA,-34.5322,20.0403,62.28,89,0,7.61,clear sky
2,Tual,ID,-5.6667,132.75,83.43,78,100,16.96,overcast clouds
3,Norman Wells,CA,65.282,-126.8329,-2.36,96,100,0.98,overcast clouds
4,Tuktoyaktuk,CA,69.4541,-133.0374,-7.24,97,100,6.29,overcast clouds
5,Dikson,RU,73.5069,80.5464,-14.21,80,100,2.59,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,46.02,90,100,3.56,overcast clouds
7,Albany,US,42.6001,-73.9662,36.81,78,92,2.82,overcast clouds
8,Henties Bay,NA,-22.116,14.2845,57.85,89,58,4.79,broken clouds
9,Port Elizabeth,ZA,-33.918,25.5701,69.1,100,90,10.36,overcast clouds
10,Talnakh,RU,69.4865,88.3972,-14.8,96,100,7.07,overcast clouds
11,Port Alfred,ZA,-33.5906,26.891,71.71,80,0,11.95,clear sky
12,Rikitea,PF,-23.1203,-134.9692,76.28,69,52,18.25,broken clouds
13,Ballina,AU,-28.8667,153.5667,77.18,70,94,11.12,overcast clouds
14,Kindu,CD,-2.95,25.95,69.58,99,29,0.76,moderate rain
15,Hermanus,ZA,-34.4187,19.2345,62.91,84,82,10.87,broken clouds
16,Flin Flon,CA,54.7682,-101.865,6.01,97,83,4.47,broken clouds
17,Bilibino,RU,68.0546,166.4372,-32.1,99,97,0.87,overcast clouds
18,Kapaa,US,22.0752,-159.319,76.98,84,90,8.05,moderate rain
19,Curuca,BR,-0.7289,-47.8481,75.54,95,33,4.34,scattered clouds
20,Mataura,NZ,-46.1927,168.8643,58.48,82,97,6.44,overcast clouds
21,Torbay,CA,47.6666,-52.7314,23.68,77,62,1.99,broken clouds
22,Shanghai,CN,31.2222,121.4581,55.27,72,2,1.01,mist
23,Lafiagi,NG,8.8667,5.4167,73.81,31,39,2.42,scattered clouds
24,Arraial Do Cabo,BR,-22.9661,-42.0278,72.81,79,93,5.82,overcast clouds
25,Punta Arenas,CL,-53.15,-70.9167,51.91,71,75,13.8,broken clouds
26,Qaanaaq,GL,77.484,-69.3632,-3.32,74,59,6.58,broken clouds
27,Hvolsvollur,IS,63.7533,-20.2243,35.82,83,100,13.49,light rain
28,Isangel,VU,-19.55,169.2667,85.03,71,100,10.54,overcast clouds
29,Forestville,US,38.8451,-76.875,50.5,82,90,0.0,overcast clouds
30,Cape Town,ZA,-33.9258,18.4232,63.12,84,29,1.99,scattered clouds
31,Oranjestad,AW,12.524,-70.027,79.92,84,10,1.99,clear sky
32,Mount Gambier,AU,-37.8333,140.7667,68.13,41,0,8.01,clear sky
33,Chifeng,CN,42.2683,118.9636,31.33,50,99,5.53,overcast clouds
34,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,88,20,11.5,few clouds
35,Hilo,US,19.7297,-155.09,80.33,45,40,10.36,scattered clouds
36,Hambantota,LK,6.1241,81.1185,76.24,86,48,13.15,scattered clouds
37,Vaini,TO,-21.2,-175.2,86.16,79,20,10.36,few clouds
38,Severo-Yeniseyskiy,RU,60.3725,93.0408,1.33,96,100,6.04,light snow
39,Mareeba,AU,-17.0,145.4333,93.33,57,100,3.02,overcast clouds
40,Nelson Bay,AU,-32.7167,152.15,70.29,69,100,4.0,overcast clouds
41,Yellowknife,CA,62.456,-114.3525,-10.59,96,71,9.15,broken clouds
42,Abu Dhabi,AE,24.4667,54.3667,70.97,75,40,1.99,scattered clouds
43,Rumonge,BI,-3.9736,29.4386,72.3,78,78,4.61,broken clouds
44,Butaritari,KI,3.0707,172.7902,82.65,77,27,12.39,scattered clouds
45,Soe,ID,-9.8607,124.284,79.03,61,72,2.86,broken clouds
46,Vao,NC,-22.6667,167.4833,78.82,85,100,15.19,overcast clouds
47,Jacksonville,US,30.3322,-81.6556,70.45,87,1,1.99,clear sky
48,Guarapari,BR,-20.6667,-40.4975,73.89,90,1,7.05,clear sky
49,Burnie,AU,-41.0667,145.9167,66.92,52,50,9.42,scattered clouds
50,Carutapera,BR,-1.195,-46.02,77.68,89,22,6.53,few clouds
51,Statesboro,US,32.4488,-81.7832,65.73,94,75,3.44,broken clouds
52,Bengkulu,ID,-3.8004,102.2655,77.76,85,100,3.11,overcast clouds
53,Atuona,PF,-9.8,-139.0333,78.8,72,91,14.43,overcast clouds
54,Fort-Shevchenko,KZ,44.5086,50.263,40.01,80,70,16.02,broken clouds
55,Urucara,BR,-2.5364,-57.76,76.19,93,70,1.19,broken clouds
56,Puerto Ayora,EC,-0.7393,-90.3518,68.7,92,63,9.35,broken clouds
57,Busselton,AU,-33.65,115.3333,67.05,62,93,7.11,overcast clouds
58,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,76.66,83,100,5.14,overcast clouds
59,Hofn,IS,64.2539,-15.2082,36.99,83,100,9.13,overcast clouds
60,Kalabo,ZM,-14.97,22.6814,70.48,81,100,4.16,overcast clouds
61,Half Moon Bay,US,37.4636,-122.4286,54.54,61,1,8.05,clear sky
62,Severo-Kurilsk,RU,50.6789,156.125,35.04,86,100,3.62,overcast clouds
63,Marzuq,YE,14.4,46.4667,53.51,40,0,4.25,clear sky
64,Paamiut,GL,61.994,-49.6678,16.72,86,99,7.92,overcast clouds
65,Manjacaze,MZ,-24.7117,33.8828,73.15,94,81,7.0,broken clouds
66,Auki,SB,-8.7676,160.7034,83.52,82,95,6.2,light rain
67,Ginir,ET,7.1333,40.7,50.5,45,67,5.19,broken clouds
68,Maputo,MZ,-25.9653,32.5892,77.23,92,40,5.75,scattered clouds
69,Ayr,GB,55.4627,-4.6339,39.18,93,40,5.75,scattered clouds
70,Leningradskiy,RU,69.3833,178.4167,-21.66,83,96,16.22,overcast clouds
71,Provideniya,RU,64.3833,-173.3,-7.87,87,12,10.54,few clouds
72,Pevek,RU,69.7008,170.3133,-29.43,96,100,3.31,overcast clouds
73,Canora,CA,51.6333,-102.4343,7.79,88,5,8.23,clear sky
74,Mecca,SA,21.4267,39.8261,70.84,66,5,1.63,clear sky
75,Sur,OM,22.5667,59.5289,69.44,60,7,2.66,clear sky
76,Gazojak,TM,41.1875,61.4036,41.86,89,8,6.69,clear sky
77,Jamestown,US,42.097,-79.2353,38.79,90,98,1.01,overcast clouds
78,Victoria,HK,22.2855,114.1577,72.03,74,55,4.0,broken clouds
79,Jiayuguan,CN,39.8167,98.3,20.37,80,100,1.07,overcast clouds
80,Babati,TZ,-4.2167,35.75,63.32,90,90,1.03,overcast clouds
81,Shingu,JP,33.7333,135.9833,58.89,57,57,2.17,broken clouds
82,Dingle,PH,10.9995,122.6711,81.19,83,100,11.95,overcast clouds
83,Senanga,ZM,-16.1167,23.2667,68.07,86,100,4.0,light rain
84,Katangli,RU,51.7102,143.2326,30.52,91,100,8.19,overcast clouds
85,Innisfail,AU,-17.5333,146.0333,97.88,55,100,8.84,overcast clouds
86,Kodiak,US,57.79,-152.4072,26.11,54,75,21.85,snow
87,Uige,AO,-7.6087,15.0613,66.65,98,100,1.83,light rain
88,Saint-Philippe,RE,-21.3585,55.7679,74.79,78,53,7.43,broken clouds
89,Bluff,NZ,-46.6,168.3333,58.8,67,100,10.38,overcast clouds
90,Zachary,US,30.6485,-91.1565,76.68,86,75,10.36,broken clouds
91,Puerto Varas,CL,-41.3195,-72.9854,61.86,94,75,5.75,broken clouds
92,Upernavik,GL,72.7868,-56.1549,-2.51,92,64,10.65,broken clouds
93,Camana,PE,-16.6228,-72.7111,69.04,77,99,5.99,overcast clouds
94,Cuneo,IT,44.3973,7.5445,41.76,77,20,9.22,few clouds
95,Avarua,CK,-21.2078,-159.775,80.65,74,100,9.22,light rain
96,Broken Hill,AU,-31.95,141.4333,73.78,26,0,8.77,clear sky
97,Hamilton,US,39.1834,-84.5333,59.04,96,90,1.99,mist
98,Salalah,OM,17.0151,54.0924,77.09,47,0,10.36,clear sky
99,Tasiilaq,GL,65.6145,-37.6368,33.96,70,100,19.24,overcast clouds
100,Dunedin,NZ,-45.8742,170.5036,54.81,85,100,8.01,overcast clouds
101,Ngunguru,NZ,-35.6167,174.5,74.16,75,67,15.37,broken clouds
102,Aswan,EG,24.0934,32.907,67.21,59,100,7.4,overcast clouds
103,Luderitz,NA,-26.6481,15.1594,59.43,89,0,7.34,clear sky
104,Estelle,US,29.8458,-90.1067,77.0,86,75,9.22,broken clouds
105,Ilulissat,GL,69.2167,-51.1,24.82,36,100,5.75,overcast clouds
106,Mullingar,IE,53.5333,-7.35,39.92,88,100,6.73,overcast clouds
107,Qaqortoq,GL,60.7167,-46.0333,30.7,80,100,1.86,overcast clouds
108,Baillif,GP,16.0202,-61.7463,78.64,76,12,10.29,few clouds
109,Kragujevac,RS,44.0167,20.9167,35.89,97,88,3.69,overcast clouds
110,Srednekolymsk,RU,67.45,153.6833,-49.58,100,63,2.68,broken clouds
111,Narsaq,GL,60.9167,-46.05,30.42,74,100,5.97,overcast clouds
112,Bubaque,GW,11.2833,-15.8333,81.7,67,100,13.27,overcast clouds
113,Kavaratti,IN,10.5669,72.642,81.82,73,39,4.85,scattered clouds
114,San Quintin,MX,30.4833,-115.95,58.23,65,7,12.41,clear sky
115,Pakokku,MM,21.3333,95.1,72.32,78,3,3.24,clear sky
116,Kabwe,ZM,-14.4469,28.4464,67.46,46,61,5.32,broken clouds
117,Sao Francisco De Assis,BR,-29.5503,-55.1311,73.24,41,100,7.07,overcast clouds
118,Longyearbyen,SJ,78.2186,15.6401,31.84,74,75,16.11,broken clouds
119,Kahului,US,20.8947,-156.47,82.42,55,40,24.16,scattered clouds
120,Saint George,US,37.1041,-113.5841,42.64,30,1,5.01,clear sky
121,Lithgow,AU,-33.4833,150.15,58.68,48,44,4.7,scattered clouds
122,Herbrechtingen,DE,48.6217,10.176,37.15,90,95,15.23,overcast clouds
123,Mar Del Plata,AR,-38.0023,-57.5575,69.1,90,88,8.99,overcast clouds
124,Nikolskoye,RU,59.7035,30.7861,20.01,82,100,11.16,overcast clouds
125,Lavrentiya,RU,65.5833,-171.0,-13.9,86,16,7.83,few clouds
126,Buraydah,SA,26.326,43.975,51.04,45,99,6.87,overcast clouds
127,Rehoboth,NA,-23.3167,17.0833,72.77,20,97,5.86,overcast clouds
128,Sioux Lookout,CA,50.1001,-91.917,12.81,97,100,4.68,overcast clouds
129,Hithadhoo,MV,-0.6,73.0833,81.01,76,93,7.7,overcast clouds
130,Goderich,CA,43.7501,-81.7165,38.91,95,100,15.23,overcast clouds
131,Pocoes,BR,-14.5297,-40.3653,66.65,98,100,5.59,heavy intensity rain
132,Lodwar,KE,3.1191,35.5973,80.38,46,35,11.34,scattered clouds
133,Sao Filipe,CV,14.8961,-24.4956,74.5,69,100,10.31,overcast clouds
134,Nosy Varika,MG,-20.5833,48.5333,74.41,84,43,4.94,scattered clouds
135,Touho,NC,-20.7833,165.2333,82.42,74,92,10.11,overcast clouds
136,Rocky Mountain House,CA,52.3668,-114.9188,12.78,81,12,5.59,few clouds
137,Kemijarvi,FI,66.7131,27.4306,20.82,95,100,6.78,light snow
138,Luau,AO,-10.7073,22.2247,64.09,97,67,2.86,light rain
139,Mbamba,NG,9.9833,13.1,70.0,24,44,5.79,scattered clouds
140,Balkanabat,TM,39.5108,54.3671,49.44,80,66,0.81,broken clouds
141,Cherskiy,RU,68.75,161.3,-32.39,98,99,3.78,overcast clouds
142,Lang Son,VN,21.8333,106.7333,64.94,69,4,1.63,clear sky
143,Khartoum,SD,15.5518,32.5324,74.01,42,0,1.01,clear sky
144,Quelimane,MZ,-17.8786,36.8883,76.89,91,4,5.35,clear sky
145,Ocampo,MX,21.65,-101.5,53.92,24,5,4.03,clear sky
146,Oistins,BB,13.0667,-59.5333,78.89,73,20,16.11,few clouds
147,Muscat,OM,23.6139,58.5922,69.49,61,100,2.68,overcast clouds
148,Hobart,AU,-42.8794,147.3294,59.05,59,75,1.01,broken clouds
149,Pokrovskoye,RU,47.4157,38.8971,38.57,79,69,12.75,broken clouds
150,Kasongo-Lunda,CD,-6.4667,16.8167,69.53,97,100,0.18,overcast clouds
151,Clyde River,CA,70.4692,-68.5914,-15.14,93,96,3.71,overcast clouds
152,Moerai,PF,-22.4333,-151.3333,79.29,77,51,9.44,light rain
153,Merauke,ID,-8.4667,140.3333,79.81,84,100,4.41,light rain
154,Kattivakkam,IN,13.2167,80.3167,79.07,92,6,9.44,clear sky
155,New Norfolk,AU,-42.7826,147.0587,58.71,46,83,5.5,broken clouds
156,Halmstad,SE,56.6745,12.8568,34.3,96,100,5.91,overcast clouds
157,Xichang,CN,27.8964,102.2634,49.57,78,95,1.99,overcast clouds
158,Gizo,SB,-8.103,156.8419,82.47,80,100,14.81,overcast clouds
159,Chizhou,CN,30.6578,117.4831,52.03,68,8,4.63,clear sky
160,San Cristobal,VE,7.7669,-72.225,67.64,95,100,2.95,overcast clouds
161,San Policarpo,PH,12.1791,125.5072,80.94,87,100,13.91,overcast clouds
162,Jining,CN,35.405,116.5814,47.98,67,100,3.22,overcast clouds
163,Thompson,CA,55.7435,-97.8558,14.16,73,90,14.97,light snow
164,Caravelas,BR,-17.7125,-39.2481,73.63,89,100,6.67,overcast clouds
165,Kualakapuas,ID,-3.0091,114.3876,80.76,92,99,2.28,overcast clouds
166,Khuzhir,RU,53.1939,107.3397,10.49,67,69,15.9,broken clouds
167,Moisei,RO,47.6556,24.5401,36.34,95,100,0.63,overcast clouds
168,Udachnyy,RU,66.4167,112.4,-19.37,97,100,6.49,overcast clouds
169,Minot,US,48.2325,-101.2963,25.02,58,1,13.8,clear sky
170,Ayan,RU,56.45,138.1667,10.33,58,88,7.16,overcast clouds
171,Rocha,UY,-34.4833,-54.3333,57.34,93,89,5.84,overcast clouds
172,Avera,US,33.194,-82.5271,58.66,95,100,5.39,overcast clouds
173,Kamyshin,RU,50.0983,45.416,26.85,88,14,10.56,few clouds
174,Bagdarin,RU,54.4333,113.6,-9.51,94,37,4.83,scattered clouds
175,Mehamn,NO,71.0357,27.8492,22.95,86,100,11.63,overcast clouds
176,The Valley,AI,18.217,-63.0578,80.1,72,0,24.07,clear sky
177,Daru,PG,-9.0763,143.2092,82.08,82,86,5.35,overcast clouds
178,Alofi,NU,-19.0595,-169.9187,78.39,74,35,9.66,light rain
179,Marechal Floriano,BR,-20.4128,-40.6831,67.05,98,42,3.27,scattered clouds
180,Saint Anthony,US,45.0205,-93.218,30.52,94,90,3.0,snow
181,Ribeira Grande,PT,38.5167,-28.7,64.08,77,0,14.16,clear sky
182,East London,ZA,-33.0153,27.9116,78.22,55,100,7.61,overcast clouds
183,Nanortalik,GL,60.1432,-45.2371,27.37,75,100,13.94,overcast clouds
184,Kruisfontein,ZA,-34.0033,24.7314,66.88,95,40,10.4,scattered clouds
185,Bambous Virieux,MU,-20.3428,57.7575,74.21,88,40,4.61,scattered clouds
186,Plettenberg Bay,ZA,-34.0527,23.3716,65.89,93,47,7.38,scattered clouds
187,Lebu,CL,-37.6167,-73.65,54.75,94,85,6.49,overcast clouds
188,Tumen,CN,42.9661,129.8425,30.99,76,74,2.28,broken clouds
189,Touros,BR,-5.1989,-35.4608,81.5,75,23,14.65,few clouds
190,Pogranichnyy,RU,44.4064,131.3769,28.69,70,100,4.27,overcast clouds
191,Mokhsogollokh,RU,61.4681,128.9203,-13.77,100,99,0.92,overcast clouds
192,Fairbanks,US,64.8378,-147.7164,11.1,83,90,0.0,light snow
193,Trelew,AR,-43.249,-65.3051,69.94,53,100,20.92,overcast clouds
194,Bethel,US,41.3712,-73.414,41.49,82,1,0.0,clear sky
195,Barrow,US,71.2906,-156.7887,-3.98,77,90,0.0,haze
196,Egvekinot,RU,66.3167,-179.1667,-23.28,81,59,5.93,broken clouds
197,Tuatapere,NZ,-46.1333,167.6833,58.82,77,100,9.4,overcast clouds
198,San Ramon,US,37.7799,-121.978,53.04,59,1,4.61,clear sky
199,Jamiltepec,MX,16.2833,-97.8167,72.5,91,40,1.77,scattered clouds
200,Karasjok,NO,69.4719,25.5112,15.91,95,100,7.83,overcast clouds
201,Puksoozero,RU,62.5903,40.6066,4.69,95,85,6.42,overcast clouds
202,Inverness,GB,57.4791,-4.224,38.21,87,98,4.61,overcast clouds
203,Te Anau,NZ,-45.4167,167.7167,60.37,62,95,5.06,overcast clouds
204,Katsuura,JP,35.1333,140.3,50.14,62,1,2.93,clear sky
205,Candolim,IN,15.5181,73.7626,76.89,70,0,9.06,light rain
206,Asau,RO,46.4333,26.4,40.39,84,100,4.83,overcast clouds
207,Faanui,PF,-16.4833,-151.75,80.62,76,56,12.62,broken clouds
208,Hervey Bay,AU,-25.2986,152.8535,86.11,45,5,10.09,clear sky
209,Kavieng,PG,-2.5744,150.7967,81.91,78,100,8.55,overcast clouds
210,Sisophon,KH,13.5859,102.9737,72.75,73,17,6.64,few clouds
211,Saint-Joseph,RE,-21.3667,55.6167,73.76,74,32,8.25,scattered clouds
212,Beroroha,MG,-21.6667,45.1667,76.46,71,38,1.3,scattered clouds
213,Sorland,NO,67.667,12.6934,36.77,66,13,8.25,few clouds
214,Lompoc,US,34.6391,-120.4579,57.61,74,1,4.61,clear sky
215,Hasaki,JP,35.7333,140.8333,50.4,52,0,6.22,clear sky
216,Pallipattu,IN,13.3386,79.4449,76.35,94,26,2.86,scattered clouds
217,Ponta Do Sol,PT,32.6667,-17.1,65.03,65,38,7.96,scattered clouds
218,Ambon,ID,-3.6954,128.1814,87.94,70,20,3.44,few clouds
219,Talara,PE,-4.5772,-81.2719,67.89,87,100,13.27,overcast clouds
220,Nchelenge,ZM,-9.3451,28.734,72.66,76,99,2.53,light rain
221,Miri,MY,4.4148,114.0089,80.74,83,20,3.44,few clouds
222,Matamoros,MX,25.5333,-103.25,82.51,19,75,9.22,broken clouds
223,Sinnamary,GF,5.3833,-52.95,78.1,90,100,8.37,overcast clouds
224,Nemuro,JP,43.3236,145.575,37.83,80,100,5.82,overcast clouds
225,Cidreira,BR,-30.1811,-50.2056,66.0,74,100,6.26,overcast clouds
226,Geraldton,AU,-28.7667,114.6,73.81,53,75,12.66,broken clouds
227,Kidal,ML,18.4411,1.4078,67.46,10,99,8.81,overcast clouds
228,Iqaluit,CA,63.7506,-68.5145,2.93,72,75,9.22,light snow
229,Zyryanka,RU,65.75,150.85,-45.29,94,13,6.22,few clouds
230,Razumnoye,RU,50.5344,36.6846,34.88,86,90,13.42,overcast clouds
231,Charters Towers,AU,-20.1,146.2667,91.04,31,5,3.18,clear sky
232,Arys,KZ,42.4252,68.795,34.02,29,100,10.38,overcast clouds
233,Porto Novo,BJ,6.4965,2.6036,78.84,85,12,3.96,few clouds
234,Rawson,AR,-43.3002,-65.1023,67.6,59,64,20.49,broken clouds
